 Beginning C for Arduino: Learn C Programming for the Arduino (Technology in Action);1430247762;9,78143E+12; Ph.D. , Jack Purdum;Apress;arduino, action, technology, learn, beginning, programming;280;03/12/2012;Paperback;39.99 USD
 C in a Nutshell (In a Nutshell (O'Reilly));596006977;9,7806E+12;Peter Prinz, Tony Crawford;O\'Reilly Media;nutshell, reilly;622;26/12/2005;Paperback;39.95 USD
 Secure Coding in C and C++ (2nd Edition) (SEI Series in Software Engineering);321822137;9,78032E+12; Robert C. Seacord;Addison-Wesley Professional;software, engineering, series, sei, coding, secure;600;12/04/2013;Paperback;54.99 USD
 Linux System Programming: Talking Directly to the Kernel and C Library;1449339530;9,78145E+12; Robert Love;O\'Reilly Media;kernel, library, directly, talking, system, programming, linux;456;08/06/2013;Paperback;59.99 USD
 C Programming in 12 Easy Lessons;672305224;9,78067E+12; Greg M. Perry;Prentice Hall;lessons, easy, programming;603;1994-01;Paperback;39.99 USD
 Accelerated C++: Practical Programming by Example;020170353X;9,7802E+12;Andrew Koenig, Barbara E. Moo;Addison-Wesley Professional;example, programming, practical, accelerated;352;24/08/2000;Paperback;49.99 USD
 A Book on C: Programming in C (4th Edition);201183994;9,7802E+12;Al Kelley, Ira Pohl;Addison-Wesley Professional;programming, book;726;08/01/1998;Paperback;79.99 USD
 Microsoft Visual C# 2013 Step by Step (Step by Step Developer);073568183X;9,78074E+12; John Sharp;Microsoft Press;developer, visual, microsoft;824;25/11/2013;Paperback;44.99 USD
 C Primer Plus (5th Edition);672326965;9,78067E+12; Stephen Prata;Sams Publishing;plus, primer;984;03/12/2004;Paperback;54.99 USD
 C# 5.0 in a Nutshell: The Definitive Reference;1449320104;9,78145E+12;Joseph Albahari, Ben Albahari;O\'Reilly Media;reference, definitive, nutshell;1064;29/06/2012;Paperback;54.99 USD
 The C Puzzle Book;201604612;9,7802E+12; Alan R. Feuer;Addison-Wesley Professional;book, puzzle;192;25/10/1998;Paperback;24.99 USD
 C++ Programming For Beginners: A Simple Start To C++ Programming Written By A So ( C++, C++ Programming For Beginners, C Programming, C++ Programming Language) (Volume 1);1503162281;9,7815E+12; Scott Sanderson;CreateSpace Independent Publishing Platform;programming, beginners, language, volume, start, simple, written;134;15/11/2014;Paperback;14.99 USD
 Sudoku Programming with C;1484209966;9,78148E+12; Giulio Zambon;Apress;programming, sudoku;300;12/03/2015;Paperback;24.99 USD
 C Programming FAQs: Frequently Asked Questions;201845199;9,7802E+12; Steve Summit;Addison-Wesley Professional;questions, asked, frequently, faqs, programming;432;17/11/1995;Paperback;34.99 USD
 Programming and Metaprogramming in the Human Biocomputer: Theory and Experiments;692217894;9,78069E+12; Dr. John C. Lilly;Float On;theory, experiments, biocomputer, human, metaprogramming, programming;252;08/05/2014;Paperback;19.95 USD
 Understanding and Using C Pointers;1449344186;9,78145E+12; Richard M. Reese;O\'Reilly Media;pointers, using, understanding;226;18/05/2013;Paperback;39.99 USD
 Problem Solving and Program Design in C (7th Edition);132936496;9,78013E+12;Jeri R. Hanly, Elliot B. Koffman;Prentice Hall;design, program, solving, problem;840;04/03/2012;Paperback;147.00 USD
 C# in Depth, 3rd Edition;161729134X;9,78162E+12; Jon Skeet;Manning Publications;depth;616;30/09/2013;Paperback;49.99 USD
 Make: AVR Programming: Learning to Write Software for Hardware;1449355781;9,78145E+12; Elliot Williams;Maker Media, Inc;software, hardware, write, learning, programming, avr;474;17/02/2014;Paperback;44.99 USD
 A First Book of ANSI C, Fourth Edition (Introduction to Programming);1418835560;9,78142E+12; Gary J. Bronson;Cengage Learning;introduction, programming, fourth, ansi, book, first;784;02/02/2006;Paperback;222.95 USD
 C Programming for Arduino;1849517584;9,78185E+12; Julien Bayle;Packt Publishing;arduino, programming;512;17/05/2013;Paperback;49.99 USD
 C Programming Guide;880223561;9,78088E+12; Jack J. Purdum;Que Pub;guide, programming;475;1988-12;Paperback;24.95 USD
 Beginning Programming with C For Dummies;1118737636;9,78112E+12; Dan Gookin;For Dummies;dummies, programming, beginning;456;28/10/2013;Paperback;29.99 USD
 Programming in C with Numerical Methods for Engineers;137264984;9,78014E+12; Kamal B. Rojiani;Prentice Hall;engineers, methods, numerical, programming;1130;14/12/1995;Paperback;103.00 USD
 Absolute Beginner's Guide to C (2nd Edition);672305100;9,78067E+12; Greg Perry;Sams Publishing;guide, beginner, absolute;432;18/04/1994;Paperback;39.99 USD
 SPARC Architecture, Assembly Language Programming, and C (2nd Edition);130255963;9,78013E+12; Richard Paul;Prentice Hall;programming, language, assembly, architecture, sparc;528;08/08/1999;Paperback;167.00 USD
 Objective-C Programming For Dummies;111821398X;9,78112E+12; Neal Goldstein;For Dummies;dummies, programming, objective;480;23/10/2012;Paperback;29.99 USD
 Mastering Algorithms with C;1565924533;9,78157E+12; Kyle Loudon;O\'Reilly Media;algorithms, mastering;562;15/08/1999;Paperback;44.99 USD
 iOS Programming: The Big Nerd Ranch Guide (4th Edition) (Big Nerd Ranch Guides);321942051;9,78032E+12;Joe Conway, Aaron Hillegass, Christian Keur;Big Nerd Ranch Guides;ranch, nerd, guides, guide, programming, ios;560;21/02/2014;Paperback;49.99 USD
 Effective Modern C++: 42 Specific Ways to Improve Your Use of C++11 and C++14;1491903996;9,78149E+12; Scott Meyers;O\'Reilly Media;improve, ways, specific, modern, effective;336;05/12/2014;Paperback;49.99 USD
 Oracle Database 12c PL / SQL Programming;71812431;9,78007E+12; Michael McLaughlin;Mcgraw-Hill Osborne Media;programming, sql, 12c, database, oracle;1154;24/01/2014;Paperback;70.00 USD
 C Interfaces and Implementations: Techniques for Creating Reusable Software;201498413;9,7802E+12; David R. Hanson;Addison-Wesley Professional;reusable, software, creating, techniques, implementations, interfaces;544;30/08/1996;Paperback;54.99 USD
 C++ Programming Professional Made Easy: Expert C++ Programming Language Success in a Day for Any Computer User!;1508429081;9,78151E+12; Sam Key;CreateSpace Independent Publishing Platform;programming, day, computer, user, success, expert, professional, made, easy, language;92;09/02/2015;Paperback;22.85 USD
 Beginning C Programming;1861001142;9,78186E+12; Ivor Horton;Wrox Press;programming, beginning;525;1997-08;Paperback;29.95 USD
 Programming Arduino: Getting Started With Sketches;71784225;9,78007E+12; Monk Simon;Tab Books;sketches, started, getting, arduino, programming;162;08/11/2011;Paperback;15.00 USD
 Programming Problems: Advanced Algorithms (Volume 2);1484964098;9,78148E+12; Bradley Green;CreateSpace Independent Publishing Platform;volume, algorithms, advanced, problems, programming;200;27/02/2013;Paperback;13.95 USD
 Head First C#;1449343503;9,78145E+12;Jennifer Greene, Andrew Stellman;O\'Reilly Media;first, head;1100;16/09/2013;Paperback;54.99 USD
 Programming Embedded Systems in C and C++;1565923545;9,78157E+12; Michael Barr;O\'Reilly Media;systems, embedded, programming;200;09/02/1999;Paperback;29.95 USD
 Objective-C Programming: The Big Nerd Ranch Guide (Big Nerd Ranch Guides);321706285;9,78032E+12; Aaron Hillegass;Big Nerd Ranch Guides;ranch, nerd, guides, guide, programming, objective;288;28/10/2011;Paperback;39.99 USD
 C Programming for the Absolute Beginner;1598634801;9,7816E+12; Michael Vine;Cengage Learning PTR;beginner, absolute, programming;336;11/10/2007;Paperback;29.99 USD
 Introduction to C Programming;198086393;9,7802E+12; Reema Thareja;Oxford University Press;programming, introduction;448;19/04/2013;Paperback;29.95 USD
